CODE,NAME,CLASS_1,TYPE_1,CLASS_2,TYPE_2,CLASS_3,TYPE_3
872422,御龙渔业,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872423,宇德科技,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872424,华光源海,R,文化、体育和娱乐业,86,广播、电视、电影和影视录音制作业,863,电影和影视节目制作
872425,开元新材,C,制造业,26,化学原料和化学制品制造业,261,基础化学原料制造
872426,晋坤股份,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872427,习尚喜,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872428,山东通航,L,租赁和商务服务业,72,商务服务业,727,旅行社及相关服务
872430,轩慧科技,M,科学研究和技术服务业,74,专业技术服务业,746,环境与生态监测
872431,安友农场,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872432,鹏翔智造,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
872434,华泓新材,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872435,奥森迪科,C,制造业,40,仪器仪表制造业,401,通用仪器仪表制造
872436,鸿基科技,A,农、林、牧、渔业,1,农业,14,蔬菜、食用菌及园艺作物种植
872438,广博装饰,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872439,科迪智能,F,批发和零售业,52,零售业,529,货摊、无店铺及其他零售业
872440,吾尔利,C,制造业,38,电气机械和器材制造业,384,电池制造
872441,全影科技,C,制造业,26,化学原料和化学制品制造业,264,涂料、油墨、颜料及类似产品制造
872442,舜大能源,G,交通运输、仓储和邮政业,54,道路运输业,543,道路货物运输
872443,慈生堂,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
872444,同曦篮球,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872445,桃子科技,C,制造业,31,黑色金属冶炼和压延加工业,313,黑色金属铸造
872446,第一成美,M,科学研究和技术服务业,75,科技推广和应用服务业,751,技术推广服务
872447,云里物里,C,制造业,39,计算机、通信和其他电子设备制造业,397,电子元件制造
872448,爱特安为,L,租赁和商务服务业,72,商务服务业,726,人力资源服务
872449,农好股份,C,制造业,26,化学原料和化学制品制造业,265,合成材料制造
872450,徽生源,N,水利、环境和公共设施管理业,78,公共设施管理业,785,公园和游览景区管理
872451,韦伯股份,C,制造业,39,计算机、通信和其他电子设备制造业,397,电子元件制造
872453,网域科技,R,文化、体育和娱乐业,87,文化艺术业,879,其他文化艺术业
872454,金鑫新能,C,制造业,33,金属制品业,331,结构性金属制品制造
872455,富利环保,C,制造业,40,仪器仪表制造业,402,专用仪器仪表制造
872456,豫科玻璃,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872457,汇通银行,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872458,青岛食品,H,住宿和餐饮业,61,住宿业,612,一般旅馆
